,prices_usd,market_caps,total_volumes,unix_timestamp
2021-06-05 16:24:50,36159.21183833177,677665110416.5289,32620820599.853592,1622910290417
2021-06-05 16:30:03,36165.75489229247,677292366457.6626,32620213232.091145,1622910603219
2021-06-05 16:32:37,36179.59937491796,677292366457.6626,32638563465.736202,1622910757940
2021-06-05 16:39:20,36193.263189934405,677807526726.3372,32629715990.299187,1622911160034
2021-06-05 16:44:21,36110.94718219535,677807526726.3372,32051714838.487633,1622911461311
2021-06-05 16:49:56,36114.86119182081,676339907294.2661,32545210347.43774,1622911796823
2021-06-05 16:54:47,36074.96134629799,676339907294.2661,31998643841.730286,1622912087531
2021-06-05 17:00:10,36081.227597944555,675597980285.2047,31989927670.715153,1622912410526
2021-06-05 17:04:39,36073.03181544916,675597980285.2047,31909715186.74511,1622912679811
2021-06-05 17:10:22,36147.59859572049,676324749228.2809,32447374519.800404,1622913022721
2021-06-05 17:14:46,36077.83288294823,676324749228.2809,32375598223.31147,1622913286243
2021-06-05 17:20:27,36013.742360369004,674342600632.6643,32350734100.553444,1622913627545
2021-06-05 17:24:41,36083.13353849406,674342600632.6643,32420228069.209293,1622913881701
2021-06-05 17:29:51,36208.08611005425,678086461920.9215,32511712220.90121,1622914191308
2021-06-05 17:34:08,36165.492232612574,678086461920.9215,32459556790.35177,1622914448313
2021-06-05 17:40:13,36168.895416598985,677812841926.1118,31932417888.2545,1622914813293
2021-06-05 17:45:02,36129.452289274006,677812841926.1118,31871088624.73945,1622915102783
2021-06-05 17:50:24,36141.801065986714,676861745766.5924,32393600666.156548,1622915424615
2021-06-05 17:55:18,36099.38029893786,676861745766.5924,32361837462.32846,1622915718230
2021-06-05 18:00:10,36056.868533749606,675330259223.5758,32330971306.41238,1622916010821
2021-06-05 18:05:48,36090.27206052242,675330259223.5758,32290016333.253082,1622916348665
2021-06-05 18:09:48,36045.63357371549,675045936440.1991,32249990390.07652,1622916588109
2021-06-05 18:14:34,36110.58063504028,675045936440.1991,31835118897.308617,1622916874705
2021-06-05 18:20:46,36152.43389798752,676975428649.3641,32382002801.91617,1622917246222
2021-06-05 18:24:16,36155.512139868144,676975428649.3641,31920906969.240707,1622917456704
2021-06-05 18:29:57,36194.85529009574,676975428649.3641,32441935222.4724,1622917797312
2021-06-05 18:34:59,36169.43153655549,677840491654.9137,31919879413.26789,1622918099632
2021-06-05 18:40:07,36151.342921224474,677094409287.0853,32371383802.491825,1622918407076
2021-06-05 18:44:26,36164.567255728594,677094409287.0853,32383705196.798077,1622918666946
2021-06-05 18:50:08,36152.22163866641,677034727879.9961,31845102231.677635,1622919008403
2021-06-05 18:54:54,36131.15598874728,677034727879.9961,31822738676.668007,1622919294555
2021-06-05 19:00:32,36112.207696790836,676452081550.8547,31819690462.190662,1622919632782
2021-06-05 19:04:42,36106.00890336703,676452081550.8547,31786233708.97689,1622919882057
2021-06-05 19:10:59,36121.73737719714,676630893388.3937,31753531845.576305,1622920259625
2021-06-05 19:14:42,36106.03218397594,676630893388.3937,31740091846.20683,1622920482260
2021-06-05 19:19:53,36138.12521382915,676779197334.5,31790784896.274845,1622920793680
2021-06-05 19:25:17,36274.97257392639,676779197334.5,32450450340.148335,1622921117711
2021-06-05 19:29:30,36277.09374347503,679381993862.9594,32454593056.16433,1622921370505
2021-06-05 19:34:58,36225.222014151805,679381993862.9594,32422810246.036964,1622921698564
2021-06-05 19:39:39,36159.19286533818,677173996325.0857,32377495982.17833,1622921979176
2021-06-05 19:44:10,36095.42067165942,677173996325.0857,31863575810.25187,1622922250878
2021-06-05 19:49:22,36103.48963443121,676130809890.5331,32336035701.392223,1622922562972
2021-06-05 19:55:21,35943.4211404171,676130809890.5331,32175313453.041492,1622922921854
2021-06-05 19:59:15,35919.57615784364,672686556464.2286,32192741034.56395,1622923155971
2021-06-05 20:03:51,35890.57390178443,672686556464.2286,32148348713.013477,1622923431577
2021-06-05 20:10:27,35944.31608450779,672686556464.2286,32221996677.657326,1622923827638
2021-06-05 20:15:12,35966.63027241681,672686556464.2286,32266515503.102875,1622924112564
2021-06-05 20:19:08,35938.001509510206,673032049875.4838,31810604397.571922,1622924348805
2021-06-05 20:24:00,35924.40692888085,673032049875.4838,32320473009.600594,1622924640995
2021-06-05 20:30:29,35882.423783940074,672134957663.558,32301185322.18361,1622925029565
2021-06-05 20:35:18,35894.12296067211,672134957663.558,32295156479.99275,1622925318667
2021-06-05 20:40:08,35925.460375769835,672718218396.0406,31828576839.65884,1622925608620
2021-06-05 20:45:18,35958.96346694037,672718218396.0406,32345048641.445705,1622925918018
2021-06-05 20:50:25,35748.855759960745,670660485422.446,32207321662.71941,1622926225936
2021-06-05 20:55:16,35772.767153559,670660485422.446,32319032080.219482,1622926516292
2021-06-05 20:59:29,35913.25917309969,670660485422.446,32490013039.58218,1622926769429
2021-06-05 21:04:30,35751.56929888779,672569367969.6968,32308674262.928665,1622927070190
2021-06-05 21:10:05,35690.35640778536,668349675906.589,32254648116.137264,1622927405377
2021-06-05 21:14:28,35718.96124674981,668349675906.589,32268693946.943626,1622927668003
2021-06-05 21:20:24,35696.09609128162,669010578338.1049,32240305603.671566,1622928024558
2021-06-05 21:24:40,35586.46658762326,669010578338.1049,32150049274.145496,1622928280725
2021-06-05 21:29:55,35343.91519514305,661907589806.4409,32148829783.991108,1622928595132
2021-06-05 21:35:07,35095.221032515175,661907589806.4409,32113175707.471657,1622928907550
