,prices_usd,market_caps,total_volumes,unix_timestamp
2021-05-16 00:01:58,46682.0895435909,875321252276.108,64122567495.545,1621123318750
2021-05-16 00:08:50,47187.4073617618,875321252276.108,65073285720.8911,1621123730119
2021-05-16 00:14:35,47396.4943859719,885997340789.787,65482467393.1758,1621124075504
2021-05-16 00:19:50,47539.1889018445,885997340789.787,65867077853.5216,1621124390744
2021-05-16 00:24:10,47613.2266275176,889511087931.569,65883469413.8457,1621124650990
2021-05-16 00:28:21,47579.1386703995,889511087931.569,64432088055.9455,1621124901881
2021-05-16 00:33:52,47762.7763329091,892684037181.762,66594237424.9116,1621125232804
2021-05-16 00:38:38,47481.8904988476,892684037181.762,66307773625.8565,1621125518408
2021-05-16 00:44:15,47455.5614787835,888439588360.249,66353136360.9477,1621125855264
2021-05-16 00:49:27,47245.1721805095,888439588360.249,64641481126.921,1621126167539
2021-05-16 00:54:00,47041.6457083367,884010322316.037,65799305113.9352,1621126440659
2021-05-16 00:59:32,47291.3471560203,884010322316.037,66220641141.7172,1621126772730
2021-05-16 01:02:38,47342.2510087309,884874591802.773,66252031963.8631,1621126958547
2021-05-16 01:09:33,47542.9626043726,884874591802.773,66389157285.0758,1621127373890
2021-05-16 01:14:59,47881.0011635998,889582601418.517,66818065837.0084,1621127699115
2021-05-16 01:18:55,48248.9907360774,902793186280.531,67396555078.6606,1621127935597
2021-05-16 01:24:23,48071.955074248,902793186280.531,65758897415.5221,1621128263462
2021-05-16 01:29:43,48003.0694729539,898192009328.958,65711083173.6509,1621128583193
