,prices_usd,market_caps,total_volumes,unix_timestamp
2021-05-17 02:59:25,44494.364641871194,832577438819.5776,69799721705.2595,1621220365943
2021-05-17 03:04:22,44447.384763048874,832577438819.5776,68152060201.63812,1621220662400
2021-05-17 03:09:50,44717.62443283166,836755338752.2817,70150295350.1211,1621220990968
2021-05-17 03:13:21,44499.20243167908,836755338752.2817,69742888926.45203,1621221201776
2021-05-17 03:20:00,44247.00651898659,828119699355.7977,69636967756.05457,1621221600097
2021-05-17 03:23:49,44118.920857959645,828119699355.7977,69688909153.70105,1621221829430
2021-05-17 03:27:51,43399.47718071523,812090192415.4769,69216841871.1382,1621222071279
2021-05-17 03:32:50,43328.80157872106,812090192415.4769,69617668094.80424,1621222370003
2021-05-17 03:38:19,43407.788644878594,812245976821.7158,70111106830.58301,1621222699279
2021-05-17 03:44:53,43678.53142386635,812245976821.7158,71125712441.00539,1621223093084
2021-05-17 03:49:25,43884.410487165675,812245976821.7158,71870073422.78905,1621223365922
2021-05-17 03:54:49,43615.62469919789,821164518538.5077,71904791449.01656,1621223689600
2021-05-17 03:58:17,43284.65362660308,809941875960.4996,71573827722.87393,1621223897868
2021-05-17 04:03:25,43069.5094235296,809941875960.4996,71348171582.80002,1621224205791
2021-05-17 04:08:46,42024.03192473254,786353139063.1803,70369825557.90804,1621224526208
2021-05-17 04:11:43,42361.52381445858,786353139063.1803,71472260912.9671,1621224703423
2021-05-17 04:19:06,43496.49281809554,786353139063.1803,74356393811.91983,1621225146432
2021-05-17 04:23:18,43351.873572017794,813906069136.754,74432265158.11646,1621225398964
2021-05-17 04:28:18,43498.36817039084,813941465204.3534,75011123784.23064,1621225698403
2021-05-17 04:33:58,43835.669395785706,813941465204.3534,76281655200.4545,1621226038654
2021-05-17 04:39:44,43667.51081320629,817106462336.7161,76527501928.68884,1621226384515
2021-05-17 04:44:15,43519.67755105665,817106462336.7161,76531821219.88506,1621226655750
2021-05-17 04:49:55,43414.42459132633,812370973439.4458,76549129324.23422,1621226995798
2021-05-17 04:54:30,43421.24620434832,812370973439.4458,76821180024.94907,1621227270960
2021-05-17 04:59:11,43509.564064352715,814151484886.9366,77528090784.95091,1621227551321
2021-05-17 05:01:51,43492.566913432725,814151484886.9366,77582639645.65015,1621227711262
2021-05-17 05:09:53,43733.87578500098,814151484886.9366,78298845032.41978,1621228193457
2021-05-17 05:13:16,43505.28543047006,818349639439.0876,78139139462.12703,1621228396715
2021-05-17 05:19:41,43350.60267998354,811177821216.535,78045360283.42596,1621228781827
2021-05-17 05:24:42,43160.83793198153,811177821216.535,77941793469.15065,1621229082424
