,prices_usd,market_caps,total_volumes,unix_timestamp
2021-07-26 04:04:19,315.21233831226454,4059947352.886467,363654795.3526252,1627272259764
2021-07-26 04:11:13,315.59204923695586,4074540835.462268,369240125.8667442,1627272673885
2021-07-26 04:15:23,316.3242957890866,4075046151.4474874,372292556.82432544,1627272923408
2021-07-26 04:21:24,315.9098385336188,4075046151.4474874,373157281.91819227,1627273284523
2021-07-26 04:25:23,316.2311936317368,4079149569.304396,373926814.89681715,1627273523462
2021-07-26 04:31:05,316.41904755553287,4079149569.304396,374640091.94630575,1627273865523
2021-07-26 04:35:53,316.4554903840914,4085967262.2063203,374432072.0094124,1627274153804
2021-07-26 04:41:22,316.38827139274366,4085967262.2063203,374474903.0864657,1627274482061
2021-07-26 04:45:26,316.6118952551082,4085332295.2785296,374689096.37029505,1627274726459
2021-07-26 04:51:19,317.81676088282103,4085332295.2785296,377934327.30949175,1627275079986
2021-07-26 04:55:23,318.2920358514132,4103777524.6847563,378858579.2850168,1627275323221
2021-07-26 05:00:18,318.95308256249285,4103777524.6847563,381635608.5458811,1627275618636
2021-07-26 05:05:52,319.20855447360975,4121273091.1306767,382043256.23921907,1627275952933
2021-07-26 05:10:28,318.6526432107769,4121273091.1306767,382590355.64127207,1627276228724
2021-07-26 05:15:27,319.37585448628045,4121273091.1306767,385498531.44520575,1627276527841
2021-07-26 05:21:04,319.429221304013,4121273091.1306767,386153556.8224848,1627276864444
2021-07-26 05:25:26,319.5168977270006,4121273091.1306767,386466139.7071293,1627277126677
2021-07-26 05:30:40,320.645501134151,4128066195.469629,391815592.5942456,1627277440781
2021-07-26 05:34:46,322.21010596081186,4128066195.469629,395781652.17436725,1627277686678
2021-07-26 05:38:52,321.7810113171041,4160802150.2157483,394672096.77101034,1627277932638
2021-07-26 05:44:58,321.9560970917582,4154965516.7505083,396412041.4380462,1627278298807
2021-07-26 05:49:53,322.0856915809206,4154965516.7505083,397624701.7071498,1627278593638
2021-07-26 05:54:38,322.1557046944992,4159564887.3190713,397211843.8298762,1627278878091
2021-07-26 06:00:19,323.3315085191597,4159564887.3190713,400056194.02930945,1627279219695
2021-07-26 06:04:56,323.3928289508313,4159564887.3190713,400659855.7321358,1627279496623
2021-07-26 06:10:56,323.6586906204848,4175768614.428881,401666374.1095529,1627279856591
2021-07-26 06:14:57,324.1541436404837,4179042027.183717,404343031.5850316,1627280097174
2021-07-26 06:20:36,326.2468255660333,4179042027.183717,412613624.609132,1627280436845
2021-07-26 06:24:47,328.35531168201766,4213236147.1760187,419666392.49747443,1627280687965
2021-07-26 06:29:54,328.9753691365503,4213236147.1760187,421570894.39902496,1627280994314
2021-07-26 06:34:20,329.72397529040336,4256764670.336584,424106828.63912815,1627281260129
2021-07-26 06:40:35,329.67183597518783,4256764670.336584,425151780.5380781,1627281635830
2021-07-26 06:45:04,328.6230541184024,4260773932.629622,429720177.7375254,1627281904228
2021-07-26 06:49:40,328.2001483837101,4260773932.629622,428828398.89903784,1627282180475
2021-07-26 06:54:48,326.09194085827454,4223285688.244886,429473308.40579826,1627282488338
2021-07-26 06:59:22,323.6328378285636,4223285688.244886,431359316.88722265,1627282762324
2021-07-26 07:04:56,323.84784922524824,4223285688.244886,432716134.8022265,1627283096711
2021-07-26 07:11:42,323.21482942057656,4184782168.111635,434423073.91461086,1627283502718
2021-07-26 07:15:27,324.39934101910325,4173482878.5173926,435399956.88087136,1627283727755
2021-07-26 07:21:19,325.2497282222337,4173482878.5173926,438565726.54512084,1627284079405
2021-07-26 07:24:47,325.3897341309032,4199758329.193515,439843320.03254837,1627284287979
2021-07-26 07:29:53,325.3713307383383,4199758329.193515,439417228.19011694,1627284593852
2021-07-26 07:34:34,324.9692452316134,4200533002.6979947,439510490.96195275,1627284874910
2021-07-26 07:39:47,324.71743837608665,4200533002.6979947,439234990.78842044,1627285187074
2021-07-26 07:45:09,321.4345179420484,4182185411.513047,438464655.8716026,1627285509010
2021-07-26 07:49:57,320.9047777269745,4182185411.513047,441117568.9399376,1627285797054
2021-07-26 07:55:21,318.9716631541233,4130395578.576099,442188794.8507773,1627286121685
2021-07-26 08:00:33,319.2937398431487,4130395578.576099,442647408.355616,1627286433425
2021-07-26 08:05:20,319.52858896211353,4121844086.895937,442614807.82915944,1627286720718
2021-07-26 08:10:09,319.640905703718,4121844086.895937,444405396.598292,1627287009127
2021-07-26 08:14:42,319.5385645666925,4126710869.036167,444954495.3278471,1627287282180
2021-07-26 08:20:05,318.8309286412907,4126710869.036167,444236577.52556795,1627287605474
2021-07-26 08:24:46,320.83419377644657,4122103148.963596,462517069.6026664,1627287886362
2021-07-26 08:29:51,320.9721505419293,4122103148.963596,463138896.5763392,1627288191226
2021-07-26 08:35:31,321.7560527254731,4153045935.80223,465665607.46095467,1627288531859
2021-07-26 08:39:40,321.9483779935964,4157132031.9389606,465687860.3001296,1627288780622
