,prices_usd,market_caps,total_volumes,unix_timestamp
2021-07-16 20:05:43,0.18392190692848193,84848693.13939464,9960244.152183767,1626465943699
2021-07-16 20:11:32,0.18398673173374286,84848693.13939464,9961587.532725696,1626466292260
2021-07-16 20:16:07,0.18414098274439766,84848693.13939464,9963976.625473717,1626466567679
2021-07-16 20:21:11,0.18405530826486685,84848693.13939464,9953736.58465763,1626466871577
2021-07-16 20:25:45,0.18405903024050782,84848693.13939464,9955140.621964406,1626467145516
2021-07-16 20:30:43,0.18394794501045544,84848693.13939464,9961865.558835771,1626467443790
2021-07-16 20:35:11,0.1837992893555458,84848693.13939464,9953482.765150836,1626467711532
2021-07-16 20:38:08,0.18384444460402327,84848693.13939464,9963991.314612756,1626467888579
2021-07-16 20:45:18,0.18350715863513586,84848693.13939464,9942986.463076731,1626468318293
2021-07-16 20:50:09,0.18286309963103525,84848693.13939464,9939764.60760449,1626468609804
2021-07-16 20:56:01,0.1827939008206602,84301801.20780255,9952822.888191445,1626468961944
2021-07-16 21:00:39,0.18313382006926218,84301801.20780255,10010342.804337656,1626469239857
2021-07-16 21:05:09,0.18310558807503516,84301801.20780255,10011219.694505781,1626469509926
2021-07-16 21:11:11,0.18307506171200666,84459652.68000591,10014200.663650218,1626469871865
2021-07-16 21:16:07,0.18298636237077454,84459652.68000591,10009394.652816944,1626470167901
2021-07-16 21:21:07,0.1828778352016307,84459652.68000591,10019237.724254318,1626470467987
2021-07-16 21:26:10,0.18305237366914573,84459652.68000591,10031698.80662177,1626470770169
2021-07-16 21:31:25,0.18302253959292633,84459652.68000591,10035901.806152832,1626471085912
2021-07-16 21:34:01,0.18272285117669515,84433788.00738215,10046837.39239762,1626471241342
2021-07-16 21:40:05,0.18270238554989868,84433788.00738215,10048318.27157753,1626471605274
2021-07-16 21:44:55,0.1825073195740613,84196101.55659439,10062332.171373736,1626471895564
2021-07-16 21:50:42,0.18174013338966163,84196101.55659439,10043412.619985892,1626472242030
2021-07-16 21:55:49,0.18176869782318178,84196101.55659439,10046765.301596684,1626472549457
2021-07-16 21:59:56,0.18181463818706955,83866241.02182142,10060854.942579485,1626472796776
2021-07-16 22:06:13,0.182516072913417,83866241.02182142,10124595.541665265,1626473173464
2021-07-16 22:12:00,0.18263885234220945,84255769.24345283,10131072.288398126,1626473520769
2021-07-16 22:15:47,0.18260486903469797,84255769.24345283,10121287.480553014,1626473747721
2021-07-16 22:20:48,0.18216581279961194,84038554.23667915,10123926.705107454,1626474048451
2021-07-16 22:25:11,0.18217816639346698,84038554.23667915,10124596.546610346,1626474311428
2021-07-16 22:31:09,0.1820800853740431,84038554.23667915,10112224.318973001,1626474669432
2021-07-16 22:35:02,0.1820910256681051,84038554.23667915,10132991.433273893,1626474902898
2021-07-16 22:41:33,0.18200428189287618,83990601.0725115,10127920.200441372,1626475293696
2021-07-16 22:46:13,0.18170029314078898,83990601.0725115,10109894.301376063,1626475573042
2021-07-16 22:51:23,0.1808441793952069,83621761.15557659,10094045.032153169,1626475883555
2021-07-16 22:56:12,0.18078963604447695,83431922.95196357,10093867.677660078,1626476172734
2021-07-16 23:01:35,0.18039336600890782,83431922.95196357,10087911.03327788,1626476495625
2021-07-16 23:04:16,0.1804010031148106,83224394.58655457,10088543.72701498,1626476656488
2021-07-16 23:11:11,0.18041193740552777,83224394.58655457,10077209.113850577,1626477071988
2021-07-16 23:16:17,0.18030878253626773,83185247.39958036,10073894.428238163,1626477377793
2021-07-16 23:22:01,0.18061243841121713,83207839.48532097,10052414.19026716,1626477721041
2021-07-16 23:26:02,0.18052129071799033,83207839.48532097,10049055.668753432,1626477962248
2021-07-16 23:30:02,0.18040177808518768,83207839.48532097,10058315.16979859,1626478202963
2021-07-16 23:36:19,0.17943613142975628,83207839.48532097,10025495.049212538,1626478579479
2021-07-16 23:41:12,0.17857215011682825,82632723.18502435,9979510.466574077,1626478872100
2021-07-16 23:46:09,0.17859286294053037,82632723.18502435,9980538.518370153,1626479169783
2021-07-16 23:51:09,0.17857015200850127,82380656.43927969,9977853.295475341,1626479469139
2021-07-16 23:54:42,0.17865649470307146,82380656.43927969,9973019.557656718,1626479682325
2021-07-17 00:01:37,0.17888382562983005,82380656.43927969,10024042.81749095,1626480097401
2021-07-17 00:06:18,0.17933558797236027,82380656.43927969,10056046.179251261,1626480378811
2021-07-17 00:11:13,0.18071121962766493,82380656.43927969,10115399.992448792,1626480673525
2021-07-17 00:16:06,0.18019006056926573,82380656.43927969,10037803.436015537,1626480966040
2021-07-17 00:20:01,0.18004994972599414,83062443.1270429,10013199.217377782,1626481201188
2021-07-17 00:25:32,0.1781805126665746,83062443.1270429,9689380.393107079,1626481532211
2021-07-17 00:31:35,0.17787414978932922,83062443.1270429,9618614.760318948,1626481895981
2021-07-17 00:35:48,0.17766187994381166,83062443.1270429,9607834.942842273,1626482148377
2021-07-17 00:40:44,0.17886322491298773,83062443.1270429,9718325.411085939,1626482444294
2021-07-17 00:46:11,0.17949187350435677,83062443.1270429,9772284.596000476,1626482771867
2021-07-17 00:51:12,0.17962001041235434,83062443.1270429,9765946.912672602,1626483072404
2021-07-17 00:56:09,0.18028229069841895,83062443.1270429,9732290.859045282,1626483369452
2021-07-17 01:01:10,0.1815126556919777,83062443.1270429,9733659.057839584,1626483670737
2021-07-17 01:06:17,0.1818103436577447,83062443.1270429,9751020.456374234,1626483977455
2021-07-17 01:08:28,0.18194482860733274,83062443.1270429,9790596.902282115,1626484108605
2021-07-17 01:16:04,0.1816503395833334,83062443.1270429,9794746.288896076,1626484564041
2021-07-17 01:21:13,0.18143176526459398,83062443.1270429,9776207.019126993,1626484873090
2021-07-17 01:24:13,0.18073604135438698,83062443.1270429,9732943.0940442,1626485053244
2021-07-17 01:31:48,0.18076199730132772,83062443.1270429,9737023.193592714,1626485508692
2021-07-17 01:36:04,0.18050031107648,83262916.08915064,9720933.645842507,1626485764557
2021-07-17 01:41:02,0.1802316811470629,83262916.08915064,9656652.286990214,1626486062421
2021-07-17 01:45:37,0.1800912469495001,83262916.08915064,9615638.837677423,1626486337783
2021-07-17 01:51:38,0.17996155207445833,83262916.08915064,9605755.940118242,1626486698509
2021-07-17 01:56:02,0.17953172316784455,83262916.08915064,9591811.227037478,1626486962259
2021-07-17 01:58:59,0.1787595766453341,82464948.32758176,9569808.926732143,1626487139686
2021-07-17 02:05:56,0.17879417696442382,82464948.32758176,9577641.656479988,1626487556787
2021-07-17 02:10:18,0.17853639352234688,82464948.32758176,9567323.893629981,1626487818769
2021-07-17 02:16:08,0.17719491957806646,82362209.033213,9507300.701222328,1626488168608
