,prices_usd,market_caps,total_volumes,unix_timestamp
2021-07-24 12:00:38,33883.54521982037,635814816370.8464,24307869296.863567,1627128038407
2021-07-24 12:04:56,33896.691308585716,635814816370.8464,24306781805.673855,1627128296923
2021-07-24 12:10:23,33900.615849979746,635862917295.8723,24295481224.97876,1627128623044
2021-07-24 12:14:55,33863.36625705662,635862917295.8723,24211433516.4893,1627128895096
2021-07-24 12:20:32,33862.41703366112,635493643616.8304,24183791577.924072,1627129232948
2021-07-24 12:24:55,33854.52520917385,635493643616.8304,23831325433.688755,1627129495759
2021-07-24 12:29:59,33865.856269790595,635493643616.8304,23820006083.301292,1627129799760
2021-07-24 12:34:20,33840.12966796964,635535653656.7922,24202417756.13122,1627130060567
2021-07-24 12:39:13,33821.37223674016,634665659831.1824,24188563840.139545,1627130353944
2021-07-24 12:44:59,33807.29859969573,634665659831.1824,24161198825.85173,1627130699315
2021-07-24 12:49:58,33844.145785072855,635093213654.5684,24146039466.9967,1627130998772
2021-07-24 12:54:52,33846.37654081871,635093213654.5684,24184742234.90969,1627131292873
2021-07-24 12:59:53,33880.937243264096,635093213654.5684,24211357794.51055,1627131593119
2021-07-24 13:04:57,33877.713146799964,635783004580.9845,24166040204.073536,1627131897254
2021-07-24 13:10:26,33890.60852117018,635940468337.0497,24152893521.54073,1627132226982
2021-07-24 13:14:45,33910.590319478826,635940468337.0497,24148418557.32009,1627132485296
2021-07-24 13:20:35,33935.42006041494,636797571517.1216,24179786108.749844,1627132835106
2021-07-24 13:24:55,33940.74122067879,636797571517.1216,24209923921.2318,1627133095607
2021-07-24 13:29:21,33939.309848510624,636880245042.3412,24186577630.62918,1627133361048
2021-07-24 13:34:53,33881.62183767097,636880245042.3412,23656198000.284016,1627133693689
2021-07-24 13:40:54,33887.119491816105,636244460994.4019,23753387594.19192,1627134054782
2021-07-24 13:44:52,33875.53901907307,636244460994.4019,24150053153.766823,1627134292900
2021-07-24 13:50:39,33843.75077465808,635147561456.0527,24153261321.60518,1627134639338
2021-07-24 13:55:06,33836.22165673847,635147561456.0527,24149962359.94792,1627134906768
2021-07-24 13:59:54,33834.75369856329,634919303579.6497,24095804911.073288,1627135194452
2021-07-24 14:04:50,33825.931961486785,634919303579.6497,23997114624.54006,1627135490393
2021-07-24 14:09:12,33821.353189310525,634667839003.3687,23969030780.868164,1627135752337
2021-07-24 14:14:55,33799.5776418648,634667839003.3687,23986288263.886433,1627136095570
2021-07-24 14:19:57,33800.63649373824,634667839003.3687,24002601985.48703,1627136397276
2021-07-24 14:24:57,33825.620085695606,634279083995.9462,23994303288.10852,1627136697227
2021-07-24 14:29:18,33819.48335893659,634632953992.3529,23969439288.89408,1627136958987
2021-07-24 14:34:21,33832.770907950086,634632953992.3529,23951311283.77122,1627137261278
2021-07-24 14:40:33,33857.58234416646,635082779052.382,24019679263.332855,1627137633401
2021-07-24 14:44:55,33888.998325310466,635082779052.382,24077066603.8439,1627137895025
