,prices_usd,market_caps,total_volumes
2021-05-14 21:28:27,49871.00560510813,933096788298.7278,59076520529.73586
2021-05-14 21:32:56,49722.257355666254,933096788298.7278,57673260824.370125
2021-05-14 21:38:46,49674.86302292808,929426920180.7671,57626290887.166405
2021-05-14 21:43:37,49846.993208868196,929426920180.7671,59084705101.67502
2021-05-14 21:48:19,49881.21410070062,933288389928.7826,59144780623.944855
2021-05-14 21:54:35,49835.225742740666,933288389928.7826,59088419735.17732
2021-05-14 21:58:48,49807.977163362775,931919057217.1053,57846544368.4134
2021-05-14 22:04:53,49808.38156124715,931919057217.1053,57591320628.17585
2021-05-14 22:09:50,49768.49630839944,931180361063.7786,57618770551.85975
2021-05-14 22:14:09,49755.05910016105,931180361063.7786,57551173629.96873
2021-05-14 22:20:05,49812.08383026835,931877390621.4106,57620729751.22914
2021-05-14 22:25:01,49765.075895723196,931877390621.4106,57557348351.10469
2021-05-14 22:28:55,49764.04930097792,931097455085.277,57525047585.00306
2021-05-14 22:34:18,49851.005429043675,931097455085.277,45293550915.502655
2021-05-14 22:39:49,50286.49167507772,940872478858.1812,59400332229.43222
2021-05-14 22:44:17,50113.98994673849,940872478858.1812,57967627335.68203
2021-05-14 22:48:25,50047.02608717991,936392019518.4753,57851204758.49718
2021-05-14 22:53:39,49985.39470145516,936392019518.4753,57773545376.330574
2021-05-14 22:59:08,49950.26944122073,934582328514.2168,57748005590.37304
2021-05-14 23:01:24,49932.47475913673,934582328514.2168,57742492792.30206
2021-05-14 23:09:48,49927.879932497664,934164014208.8531,57352879556.86899
2021-05-14 23:14:27,49965.25426664895,934164014208.8531,57247700590.64336
2021-05-14 23:20:00,49987.48037636193,935279504398.8352,57109584127.885345
2021-05-14 23:24:12,50166.894376256045,935279504398.8352,57315895142.381775
2021-05-14 23:28:25,50099.77733114868,937381212501.8859,57185477285.96037
2021-05-14 23:33:16,50067.149083525284,937381212501.8859,57037666586.99763
2021-05-14 23:39:11,50106.14117856219,937501534566.9463,57096500073.67782
2021-05-14 23:43:20,50082.07877231215,937501534566.9463,57041090330.33725
2021-05-14 23:48:52,50023.845422052655,935962705739.4398,58163249725.943695
2021-05-14 23:53:51,49949.08601571569,935962705739.4398,56696447596.56649
2021-05-14 23:59:04,49913.26314398822,935962705739.4398,56820196964.51265
2021-05-15 00:04:28,49916.6989947275,933893674714.1202,56647892527.009995
2021-05-15 00:09:24,50010.174319592516,933893674714.1202,56501517157.93356
2021-05-15 00:14:05,50328.47201223153,935707515009.3677,57966225571.55686
2021-05-15 00:19:27,50286.101453069765,935707515009.3677,57790295924.93681
2021-05-15 00:24:08,49723.39769893005,940870206319.7336,56066729024.92355
2021-05-15 00:29:16,49599.176822052985,940870206319.7336,57169405208.32042
