,prices_usd,market_caps,total_volumes,unix_timestamp
2021-07-26 04:04:20,2320.820668332183,271174327284.56512,23173005522.097935,1627272260484
2021-07-26 04:09:59,2322.834519033848,271409837939.73593,23183749404.270798,1627272599328
2021-07-26 04:14:10,2322.502031541982,271409837939.73593,23205902833.644295,1627272850035
2021-07-26 04:20:39,2321.167794316408,271212669300.36603,23347572406.730927,1627273239165
2021-07-26 04:24:53,2320.994078965238,271212669300.36603,23359524651.486,1627273493124
2021-07-26 04:29:57,2327.6882347868677,271977166857.44754,23473681136.974438,1627273797781
2021-07-26 04:34:36,2328.090481385154,271977166857.44754,23485111728.06364,1627274076541
2021-07-26 04:40:25,2328.033750925421,272048146717.4589,23507474720.803318,1627274425052
2021-07-26 04:44:53,2328.8569013231913,272048146717.4589,23542138875.075077,1627274693463
2021-07-26 04:49:52,2336.4243563195932,272998347235.74353,23624723492.33925,1627274992791
2021-07-26 04:54:58,2338.1615126880056,272998347235.74353,23663152487.23358,1627275298079
2021-07-26 04:59:25,2335.1168839512725,272998347235.74353,23804261011.029755,1627275565535
2021-07-26 05:04:25,2331.0044475008526,272843278291.31833,23814210279.406403,1627275865556
2021-07-26 05:09:59,2326.5981360955475,272843278291.31833,23783438567.981106,1627276199750
2021-07-26 05:14:31,2323.457704709493,272843278291.31833,23857763644.153297,1627276471601
2021-07-26 05:20:10,2324.1850519262234,272843278291.31833,23808428010.950047,1627276810521
2021-07-26 05:24:53,2324.77512896688,272843278291.31833,23892375323.933292,1627277093532
2021-07-26 05:30:16,2329.3218794288246,271813423829.2817,24042034759.01455,1627277416503
2021-07-26 05:34:59,2338.480339671189,273252324298.68317,24053648490.266644,1627277699804
2021-07-26 05:39:52,2337.6611177285367,273252324298.68317,24047401889.901352,1627277992356
2021-07-26 05:45:00,2338.457409427904,273144098477.18024,24080928271.20364,1627278300387
2021-07-26 05:49:43,2340.136261559607,273433306748.30716,24186343199.40487,1627278583856
2021-07-26 05:54:56,2340.9708230390133,273433306748.30716,24203735963.18206,1627278896722
2021-07-26 05:59:54,2347.9272021137854,273433306748.30716,24236634892.761536,1627279194471
2021-07-26 06:04:57,2350.9696545492,274600890577.43726,24329629099.238937,1627279497145
2021-07-26 06:10:12,2351.2364949519065,274730897177.08704,24347040199.008076,1627279812794
2021-07-26 06:14:55,2354.8334850833307,274730897177.08704,24430401917.898335,1627280095743
2021-07-26 06:20:19,2364.4008960751135,275554350430.4043,24661283580.452812,1627280419315
2021-07-26 06:24:50,2374.038867106093,275554350430.4043,24902488135.604534,1627280690710
2021-07-26 06:29:46,2380.723452519652,275554350430.4043,25050569504.066063,1627280986635
2021-07-26 06:35:00,2391.0394379712843,278587474691.4265,25364272517.956917,1627281300883
2021-07-26 06:40:29,2389.173906298308,279164715516.6728,25398739640.85753,1627281629903
2021-07-26 06:43:49,2392.590602891961,279164715516.6728,25527692029.073864,1627281829478
2021-07-26 06:49:23,2388.0640952385775,279164715516.6728,25570589397.399033,1627282163915
2021-07-26 06:55:17,2364.09427411882,277730653008.6285,25553524678.321606,1627282517986
2021-07-26 06:59:54,2359.835334186002,277730653008.6285,25571882139.61547,1627282794893
2021-07-26 07:04:38,2358.021173354529,275736528173.6523,25695469511.08642,1627283078577
2021-07-26 07:09:26,2356.0707843874716,275296943407.30676,25781410044.84179,1627283366385
2021-07-26 07:15:27,2363.2860727541406,275296943407.30676,25825079777.898567,1627283727431
2021-07-26 07:20:50,2366.9948255605777,276504645692.13306,25853360411.653103,1627284050912
2021-07-26 07:24:56,2367.3199076433184,276504645692.13306,25882036592.660984,1627284296840
2021-07-26 07:29:48,2364.692619594253,276504645692.13306,25870059697.63108,1627284588098
2021-07-26 07:34:49,2358.5790853285735,276304786628.705,25765266872.982796,1627284889914
2021-07-26 07:40:01,2354.981189912633,275170237941.14374,25781066006.88213,1627285201109
2021-07-26 07:44:25,2338.9621640520563,275170237941.14374,25736614318.199215,1627285465523
2021-07-26 07:49:59,2328.8886223042955,272121665508.2881,25814059700.00298,1627285799104
2021-07-26 07:54:37,2323.766943104181,272121665508.2881,25958221594.299892,1627286077367
