,prices_usd,market_caps,total_volumes,unix_timestamp
2021-06-09 03:00:12,7.117464947046361e-06,3487310634.3368874,737611307.089004,1623207612628
2021-06-09 03:04:51,7.120018886162387e-06,3557025521.375258,733339345.8039726,1623207891103
2021-06-09 03:09:52,7.0727667497832995e-06,3557025521.375258,727975045.6086937,1623208192829
2021-06-09 03:14:46,7.092070429584088e-06,3521567353.1342263,729453311.2566241,1623208486809
2021-06-09 03:19:14,7.14195611398058e-06,3521567353.1342263,732021660.4876364,1623208754103
2021-06-09 03:24:58,7.1510415627722505e-06,3554772720.2434187,728217526.3277973,1623209098979
2021-06-09 03:29:26,7.1175190191518735e-06,3554772720.2434187,723189324.3636761,1623209366104
2021-06-09 03:34:21,7.1192724823472425e-06,3542598929.3397174,722191643.3324486,1623209661037
2021-06-09 03:39:49,7.108225109604981e-06,3542598929.3397174,719962517.1378994,1623209989267
2021-06-09 03:45:01,7.10621575178187e-06,3537983754.8301377,714530992.3774282,1623210301485
2021-06-09 03:49:26,7.118882625693554e-06,3537983754.8301377,714900892.1446369,1623210566523
2021-06-09 03:54:56,7.158128011480967e-06,3548711652.410114,717058277.8229421,1623210896942
2021-06-09 03:59:59,7.172162033607444e-06,3548711652.410114,717996363.2579049,1623211199105
2021-06-09 04:03:29,7.149361700204038e-06,3568862045.64601,713481866.831151,1623211409718
2021-06-09 04:09:56,7.129187431918005e-06,3568862045.64601,711056855.9085665,1623211796154
2021-06-09 04:14:44,7.133032868590802e-06,3550637919.2789288,711353993.0107508,1623212084142
2021-06-09 04:19:54,7.059524950041184e-06,3550637919.2789288,700968386.6053622,1623212394316
2021-06-09 04:24:23,6.983426530132857e-06,3513147577.0639067,696758369.0997833,1623212663734
2021-06-09 04:30:02,6.972760348559814e-06,3513147577.0639067,695715865.4115442,1623213002056
2021-06-09 04:34:31,6.992878680379464e-06,3471567820.4060025,696915490.6197819,1623213271991
2021-06-09 04:39:18,7.00018776226266e-06,3471567820.4060025,697198705.9004499,1623213558683
2021-06-09 04:44:53,7.063316088765288e-06,3484210221.5052605,701716470.905599,1623213893651
2021-06-09 04:48:50,7.09063855346317e-06,3484210221.5052605,701234560.4581448,1623214130892
2021-06-09 04:53:12,7.087762680635171e-06,3531898343.495216,699890738.3740084,1623214392771
2021-06-09 04:59:59,7.096299258968368e-06,3531898343.495216,699934556.915238,1623214799199
2021-06-09 05:16:39,7.167745868965925e-06,3567609079.921436,702406403.2217337,1623215799235
2021-06-09 05:23:36,7.210648328810279e-06,3567609079.921436,706907055.9537395,1623216216865
2021-06-09 05:29:59,7.218496285734613e-06,3567609079.921436,707680941.0624635,1623216599729
2021-06-09 05:34:56,7.205077935054126e-06,3588991141.9778814,706150775.0374042,1623216896905
2021-06-09 05:40:42,7.165190712004735e-06,3588991141.9778814,702912570.3181962,1623217242381
2021-06-09 05:44:17,7.160244394643158e-06,3566337299.1772504,702078086.6859076,1623217457385
2021-06-09 05:50:43,7.1598768658227384e-06,3563692433.3805594,700323823.5302054,1623217843189
2021-06-09 05:55:04,7.156553490375516e-06,3563692433.3805594,699933786.5212157,1623218104299
2021-06-09 05:59:33,7.157481261121424e-06,3563692433.3805594,697097400.6158503,1623218373641
2021-06-09 06:04:43,7.159670529257001e-06,3559855908.5695844,697108187.9786454,1623218683400
2021-06-09 06:10:39,7.144038467925971e-06,3559855908.5695844,694699643.0618887,1623219039059
2021-06-09 06:14:09,7.147291692031532e-06,3555809172.285525,695013822.0335745,1623219249706
2021-06-09 06:19:50,7.139525441696807e-06,3555809172.285525,694424763.0172933,1623219590122
2021-06-09 06:24:23,7.16559075227986e-06,3553773077.4665694,695051102.7533191,1623219863210
2021-06-09 06:29:52,7.177899143065007e-06,3553773077.4665694,696160630.7455544,1623220192133
2021-06-09 06:34:18,7.212983264192143e-06,3583216715.053368,700022376.520202,1623220458995
2021-06-09 06:40:07,7.270419764849965e-06,3583216715.053368,705076727.2002888,1623220807632
2021-06-09 06:44:55,7.265693164574456e-06,3620197364.4587355,704639121.8421146,1623221095602
2021-06-09 06:49:55,7.3354653446115e-06,3620197364.4587355,710351880.2900561,1623221395295
2021-06-09 06:54:47,7.364692108038132e-06,3651998672.486488,713120919.0093688,1623221687100
2021-06-09 06:59:41,7.387667768179367e-06,3651998672.486488,715886888.1963183,1623221981145
2021-06-09 07:04:27,7.37065430666809e-06,3669685055.006799,709564746.1538193,1623222267913
2021-06-09 07:09:43,7.3466946015458735e-06,3669685055.006799,707383447.1342379,1623222583735
2021-06-09 07:14:40,7.374958142682161e-06,3658067926.151232,706832873.9450443,1623222880509
2021-06-09 07:20:18,7.3766345440121284e-06,3658067926.151232,706678501.0390338,1623223218843
2021-06-09 07:24:43,7.315148007038189e-06,3671579442.070325,697261167.282394,1623223483018
2021-06-09 07:30:01,7.269721623755989e-06,3671579442.070325,691363636.8666303,1623223801705
2021-06-09 07:34:58,7.261913214123368e-06,3616133742.6644077,689635008.1322253,1623224098437
2021-06-09 07:40:12,7.268981330034829e-06,3616133742.6644077,689666066.2417809,1623224412784
2021-06-09 07:44:28,7.2744796906358645e-06,3617725154.9806075,690088537.0652698,1623224668760
2021-06-09 07:50:10,7.273771681676017e-06,3617725154.9806075,683583512.9140714,1623225010278
2021-06-09 07:54:31,7.27520037526418e-06,3620810990.5787916,683143922.915765,1623225271103
2021-06-09 08:00:19,7.2482011763622535e-06,3620810990.5787916,680304017.8760297,1623225619666
2021-06-09 08:09:49,7.205638483993665e-06,3607654177.8423557,672898056.6568999,1623226189068
2021-06-09 08:12:33,7.17577475959904e-06,3586469407.8273463,670861834.1540679,1623226353074
2021-06-09 08:18:17,7.1875352851947144e-06,3586469407.8273463,671801521.0704281,1623226697430
2021-06-09 08:22:47,7.190286205829213e-06,3577458885.190042,671847569.754717,1623226967209
